Chain_ID,Squad,from,to,Type,chains.start,chain.end,Dist_to_Goal
642,GWS GIANTS,Josh Kelly,,Handball Ineffective,Intercept,Stoppage,120.1
645,GWS GIANTS,Callum M. Brown,Toby McMullin,Kick Effective Short,Stoppage,Turnover,118.9
647,GWS GIANTS,Connor Idun,,Handball Ineffective,Intercept,Turnover,143.8
649,GWS GIANTS,Sam Taylor,Lachie Ash,Out on Full Kick In,Intercept,Turnover,160.9
649,GWS GIANTS,Lachie Ash,Stephen Coniglio,Kick Effective Short,Intercept,Turnover,155.3
649,GWS GIANTS,Stephen Coniglio,Lachie Ash,Handball Effective,Intercept,Turnover,132.5
649,GWS GIANTS,Lachie Ash,Brent Daniels,Handball Effective,Intercept,Turnover,126.8
651,GWS GIANTS,Jack Buckley,Lachie Whitfield,Kick Effective Short,Intercept,Turnover,128.1
651,GWS GIANTS,Lachie Whitfield,,Kick Ineffective,Intercept,Turnover,110.3
653,GWS GIANTS,Lachie Ash,,Handball Ineffective,Stoppage,Pre-Clearance Turnover,136.2
655,GWS GIANTS,Connor Idun,Lachie Ash,Handball Effective,Kick-in,Stoppage,155.3
655,GWS GIANTS,Lachie Ash,Nick Haynes,Handball Effective,Kick-in,Stoppage,152.4
655,GWS GIANTS,Nick Haynes,Toby McMullin,Kick Effective Long,Kick-in,Stoppage,149.4
655,GWS GIANTS,Toby McMullin,,Kick Effective Long,Kick-in,Stoppage,117.7
656,GWS GIANTS,Tom Green,,Kick Ineffective,Stoppage,Turnover,66.2
658,GWS GIANTS,Jacob Wehr,Stephen Coniglio,Handball Effective,Stoppage,Score,63.8
658,GWS GIANTS,Stephen Coniglio,Jesse Hogan,Kick Effective Short,Stoppage,Score,72.2
658,GWS GIANTS,Jesse Hogan,,Kick Effective Long,Stoppage,Score,46.5
660,GWS GIANTS,Connor Idun,Jack Buckley,Kick Backwards,Intercept,Turnover,148.9
660,GWS GIANTS,Jack Buckley,Xavier O'Halloran,Kick Effective Short,Intercept,Turnover,138.2
662,GWS GIANTS,Harry Himmelberg,,Kick Effective Long,Kick-in,Turnover,150.6
666,GWS GIANTS,Lachie Ash,,Kick Effective Long,Intercept,Stoppage,139.7
667,GWS GIANTS,Toby Bedford,Jacob Wehr,Handball Effective,Stoppage,Score,100.4
667,GWS GIANTS,Jacob Wehr,Stephen Coniglio,Handball Effective,Stoppage,Score,105.1
667,GWS GIANTS,Stephen Coniglio,Toby Greene,Kick Effective Short,Stoppage,Score,91.8
667,GWS GIANTS,Toby Greene,Kieren Briggs,Kick Effective Short,Stoppage,Score,31.8
667,GWS GIANTS,Kieren Briggs,Josh Kelly,Handball Effective,Stoppage,Turnover,76.1
