chain_number,Squad,from,to,Type,chains.start,chains.end,Dist_to_Goal
1327,Sydney Swans,Oliver Florent,Will Hayward,Handball Effective,Intercept,Turnover,88.1
1327,Sydney Swans,Will Hayward,Isaac Heeney,Handball Effective,Intercept,Turnover,76.6
1327,Sydney Swans,Isaac Heeney,Logan McDonald,Kick Effective Short,Intercept,Turnover,71
1327,Sydney Swans,Logan McDonald,Robbie Fox,Kick Effective Short,Intercept,Turnover,53
1329,Sydney Swans,Tom Papley,Chad Warner,Handball Effective,Stoppage,Score,74.4
1329,Sydney Swans,Chad Warner,Matt Roberts,Handball Effective,Stoppage,Score,84.2
1329,Sydney Swans,Logan McDonald,Tom Papley,Handball Effective,Stoppage,Score,46.9
1329,Sydney Swans,Tom Papley,Robbie Fox,Kick Ineffective,Stoppage,Score,52.8
1331,Sydney Swans,Lewis Melican,Isaac Heeney,Kick Backwards,Intercept,Turnover,72.5
1331,Sydney Swans,Isaac Heeney,Chad Warner,Kick Effective Short,Intercept,Turnover,81.2
1336,Sydney Swans,Justin McInerney,Harry Cunningham,Handball Effective,Intercept,Turnover,125.9
1336,Sydney Swans,Harry Cunningham,Dane Rampe,Knock On,Intercept,Turnover,120.3
1336,Sydney Swans,Dane Rampe,Tom McCartin,Handball Effective,Intercept,Turnover,127.9
1336,Sydney Swans,Tom McCartin,Nick Blakey,Handball Effective,Intercept,Turnover,133.9
1341,Sydney Swans,James Jordon,Errol Gulden,Kick Effective Short,Stoppage,Score,78.9
1341,Sydney Swans,Errol Gulden,Isaac Heeney,Kick Effective Long,Stoppage,Score,70.1
1344,Sydney Swans,Harry Cunningham,Tom McCartin,Kick Effective Short,Intercept,Stoppage,109.6
1344,Sydney Swans,Tom McCartin,Errol Gulden,Kick Effective Short,Intercept,Stoppage,118.5
1346,Sydney Swans,Lewis Melican,Nick Blakey,Kick Effective Short,Intercept,Turnover,98.8
1354,Sydney Swans,Nick Blakey,Will Hayward,Kick Effective Long,Kick-in,Turnover,145.2
1354,Sydney Swans,Will Hayward,Hayden McLean,Kick Effective Short,Kick-in,Turnover,102.6
1354,Sydney Swans,Hayden McLean,Tom McCartin,Kick Effective Short,Kick-in,Turnover,100.3
1354,Sydney Swans,Errol Gulden,James Rowbottom,Kick Backwards,Kick-in,Turnover,92.3
1354,Sydney Swans,James Rowbottom,Harry Cunningham,Kick Effective Short,Kick-in,Turnover,87.5
1354,Sydney Swans,Jake Lloyd,Errol Gulden,Handball Effective,Kick-in,Turnover,46.7
1354,Sydney Swans,Errol Gulden,James Jordon,Handball Effective,Kick-in,Turnover,44
1354,Sydney Swans,James Jordon,Robbie Fox,Handball Effective,Kick-in,Turnover,35.8
1354,Sydney Swans,Robbie Fox,James Rowbottom,Handball Effective,Kick-in,Turnover,29.7
1354,Sydney Swans,James Rowbottom,Chad Warner,Handball Effective,Kick-in,Turnover,40.2
1363,Sydney Swans,Brodie Grundy,Joel Amartey,Kick Effective Long,Stoppage,Score,67.7
1366,Sydney Swans,Chad Warner,Matt Roberts,Handball Effective,Stoppage,Turnover,145.8
1366,Sydney Swans,Matt Roberts,Hayden McLean,Kick Effective Long,Stoppage,Turnover,135.9
1368,Sydney Swans,James Jordon,James Rowbottom,Handball Effective,Intercept,Turnover,112.2
1368,Sydney Swans,James Rowbottom,Isaac Heeney,Handball Effective,Intercept,Turnover,116.1
1370,Sydney Swans,Hayden McLean,Tom Papley,Kick Effective Short,Intercept,Turnover,95.6
1372,Sydney Swans,Matt Roberts,Jake Lloyd,Kick Effective Short,Intercept,Turnover,126.2
1377,Sydney Swans,Matt Roberts,Justin McInerney,Handball Effective,Stoppage,Turnover,141.6
1377,Sydney Swans,Justin McInerney,Isaac Heeney,Handball Effective,Stoppage,Turnover,137.9
1377,Sydney Swans,Isaac Heeney,Joel Amartey,Kick Effective Short,Stoppage,Turnover,119.5
