SEASON_ID,GROUP_ROUND,MATCH_ID,shots.period,shots.periodSecs,shots.player.displayName,PERSON_ID,shots.squad.code,SQUAD_NAME,shots.details.angleGroup,shots.details.distanceGroup,shots.details.origin,shots.details.type,shots.details.location.x,shots.details.location.xStd,shots.details.location.y,shots.details.location.yStd,shots.details.locationRotated.x,shots.details.locationRotated.xStd,shots.details.locationRotated.y,shots.details.locationRotated.yStd,shots.result.name,shots.result.code,shots.result.points,shots.result.pointsExpected,shots.result.accuracyExpected,shots.score.homePoints,shots.score.awayPoints
2023,R19,266839057,1,860,W.Ashcroft,1023517,BL,Brisbane Lions,Left Corridor,40-50m,General Play,General Play Snap,37.7,38.7,21.8,22.3,37.7,38.7,21.8,22.3,Behind,B,1,2.796428571,0.398214286,9,2
2023,R19,266839057,1,975,J.Gunston,291351,BL,Brisbane Lions,Left Boundary,40-50m,Mark,Set Shot Snap,57.6,59.1,36.3,37.1,57.6,59.1,36.3,37.1,Behind,B,1,2,0.267716535,10,2
2023,R19,266839057,1,1028,C.McKenna,997846,BL,Brisbane Lions,Right Corridor,30-40m,General Play,General Play Snap,41.1,42.2,-5.2,-5.3,41.1,42.2,-5.2,-5.3,Missed Shot,M,0,2.666666667,0.374898126,10,2
2023,R19,266839057,1,1191,J.Daniher,294518,BL,Brisbane Lions,Left Acute,15-30m,General Play,General Play Snap,56.8,58.3,17.9,18.3,56.8,58.3,17.9,18.3,Missed Shot,M,0,1.666666667,0.206349206,10,3
2023,R19,266839057,1,1249,C.Ah Chee,298437,BL,Brisbane Lions,Right Boundary,30-40m,Mark,Set Shot Regular,61.2,62.8,-30.3,-31,61.2,62.8,-30.3,-31,Behind,B,1,2.049407115,0.264822134,11,3
2023,R19,266839057,1,1626,L.McCarthy,293581,BL,Brisbane Lions,Right Boundary,30-40m,Free Kick,Set Shot Snap,67.9,69.6,-30.5,-31.2,67.9,69.6,-30.5,-31.2,Goal,G,6,2.634482759,0.372413793,17,3
2023,R19,266839057,2,447,I.Smith,294877,GEEL,Geelong Cats,Left Acute,40-50m,Mark,Set Shot Regular,50.7,52,39.4,40.3,50.7,52,39.4,40.3,Behind,B,1,2.457142857,0.336054422,17,4
2023,R19,266839057,2,603,C.McKenna,997846,BL,Brisbane Lions,Left Corridor,50m+,Mark,Set Shot Regular,-27.9,-28.6,-18.4,-18.8,27.9,28.6,18.4,18.8,Goal,G,6,2.349334601,0.33269962,23,4
2023,R19,266839057,2,840,J.Daniher,294518,BL,Brisbane Lions,Right Corridor,15-30m,General Play,General Play Snap,-52,-53.3,4.5,4.6,52,53.3,-4.5,-4.6,Behind,B,1,2.722482436,0.382903981,24,4
2023,R19,266839057,2,1093,J.Daniher,294518,BL,Brisbane Lions,Right Acute,40-50m,Free Kick,Set Shot Regular,-50.9,-52.2,37.5,38.3,50.9,52.2,-37.5,-38.3,Missed Shot,M,0,2.643044619,0.374015748,24,4
2023,R19,266839057,2,1165,P.Dangerfield,270917,GEEL,Geelong Cats,Right Corridor,40-50m,General Play,General Play Regular,40.2,41.2,-28.4,-29,40.2,41.2,-28.4,-29,Goal,G,6,2.67191601,0.380577428,25,10
2023,R19,266839057,2,1277,J.Daniher,294518,BL,Brisbane Lions,Right Acute,50m+,Mark,Set Shot Regular,-43.4,-44.5,40.3,41.2,43.4,44.5,-40.3,-41.2,Missed Shot,M,0,1.675373134,0.220149254,25,10
2023,R19,266839057,2,1479,J.Daniher,294518,BL,Brisbane Lions,Right Acute,30-40m,Mark,Set Shot Snap,-58,-59.5,26.7,27.3,58,59.5,-26.7,-27.3,Goal,G,6,3.277777778,0.478632479,32,10
2023,R19,266839057,2,1664,I.Smith,294877,GEEL,Geelong Cats,Right Corridor,50m+,Mark,Set Shot Regular,32.5,33.3,-29.3,-29.9,32.5,33.3,-29.3,-29.9,Missed Shot,M,0,2.416967509,0.342960289,32,10
2023,R19,266839057,2,1763,W.Ashcroft,1023517,BL,Brisbane Lions,Left Corridor,50m+,General Play,General Play Regular,-33.3,-34.2,-27.6,-28.2,33.3,34.2,27.6,28.2,Missed Shot,M,0,2.540740741,0.345185185,32,11
2023,R19,266839057,3,210,M.Blicavs,296733,GEEL,Geelong Cats,Right Acute,40-50m,Free Kick,Set Shot Regular,-42.3,-43.4,34,34.7,42.3,43.4,-34,-34.7,Behind,B,1,2.556807512,0.358059468,32,12
2023,R19,266839057,3,300,C.Cameron,990609,BL,Brisbane Lions,In Front,40-50m,Mark,Set Shot Regular,36.9,37.8,2.1,2.1,36.9,37.8,2.1,2.1,Goal,G,6,3.914017341,0.593208092,38,12
2023,R19,266839057,3,552,T.Hawkins,261510,GEEL,Geelong Cats,Right Corridor,30-40m,Mark,Set Shot Regular,-41.3,-42.4,9.7,9.9,41.3,42.4,-9.7,-9.9,Behind,B,1,4.301079137,0.663669065,38,13
2023,R19,266839057,3,599,Z.Tuohy,292511,GEEL,Geelong Cats,Right Acute,30-40m,General Play,General Play Regular,-57.2,-58.7,28.1,28.7,57.2,58.7,-28.1,-28.7,Behind,B,1,2.067620286,0.269180754,38,14
2023,R19,266839057,3,625,E.Hipwood,993953,BL,Brisbane Lions,Right Corridor,50m+,General Play,General Play Regular,32.7,33.5,-27.6,-28.2,32.7,33.5,-27.6,-28.2,Goal,G,6,2.294117647,0.301038062,44,14
2023,R19,266839057,3,943,L.McCarthy,293581,BL,Brisbane Lions,In Front,0-15m,General Play,General Play Snap,64.3,65.9,-2.7,-2.8,64.3,65.9,-2.7,-2.8,Goal,G,6,5.945273632,0.989552239,50,14
2023,R19,266839057,3,1101,T.Bruhn,1012805,GEEL,Geelong Cats,Right Corridor,50m+,Mark,Set Shot Regular,-34.6,-35.5,28.1,28.7,34.6,35.5,-28.1,-28.7,Missed Shot,M,0,2.312530237,0.326076439,50,14
2023,R19,266839057,3,1276,J.Fletcher,1023708,BL,Brisbane Lions,Right Corridor,30-40m,General Play,General Play Regular,42.9,44,-8.1,-8.3,42.9,44,-8.1,-8.3,Behind,B,1,2.217514124,0.299435028,51,14
